Financials,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
revenue,24593000.0,6584000.0,9121000.0,31681000.0,6145000.0,8102000.0,7422000.0,30521000.0,5257000.0,5708000.0,7177000.0,24963000.0,4614000.0,7468000.0,7741000.0,26290000.0,4322000.0,5938000.0,7140000.0,23053000.0,4339000.0,5181000.0,4061000.0,15215000.0,3238000.0,4677000.0,3382000.0,14142000.0,3084000.0,3475000.0,3624000.0,14524000.0,3010000.0,6903000.0,4049000.0,,3372000.0,4225000.0,3689000.0,,3159000.0,3387000.0,3750000.0,,2979000.0,3788000.0,3272000.0,,2752000.0,2819000.0,3155000.0
cost_of_goods_sold,4297000.0,,,7799000.0,1664000.0,,,9217000.0,1314000.0,,,6706000.0,1062000.0,2505000.0,2944000.0,9889000.0,1205000.0,1675000.0,2557000.0,8041000.0,1019000.0,977000.0,941000.0,3477000.0,918000.0,964000.0,814000.0,4098000.0,634000.0,798000.0,602000.0,2925000.0,447000.0,701000.0,743000.0,2786000.0,777000.0,1199000.0,513000.0,3129000.0,623000.0,611000.0,883000.0,2785000.0,706000.0,827000.0,585000.0,3007000.0,616000.0,824000.0,558000.0
gross_profit,20296000.0,5074000.0,6966000.0,23882000.0,4481000.0,5943000.0,5647000.0,21304000.0,3943000.0,4390000.0,5316000.0,18257000.0,3552000.0,4963000.0,4797000.0,16401000.0,3117000.0,4263000.0,4583000.0,15012000.0,3320000.0,4204000.0,3120000.0,11738000.0,2320000.0,3713000.0,2568000.0,10044000.0,2450000.0,2677000.0,3022000.0,11599000.0,2563000.0,5755000.0,3306000.0,11775000.0,2595000.0,3026000.0,3176000.0,11603000.0,2536000.0,2776000.0,2867000.0,10388000.0,2273000.0,2961000.0,2687000.0,10235000.0,2136000.0,1995000.0,2597000.0
operating_income_ebit,5212000.0,413000.0,1673000.0,4038000.0,-1052000.0,358000.0,-11905000.0,-13048000.0,-891000.0,-3696000.0,854000.0,-3561000.0,-2949000.0,-2157000.0,-1914000.0,-11970000.0,-3756000.0,-1558000.0,-710000.0,-9947000.0,-1150000.0,-764000.0,288000.0,380000.0,-289000.0,1194000.0,496000.0,687000.0,198000.0,293000.0,870000.0,2122000.0,-17000.0,511000.0,851000.0,1852000.0,308000.0,647000.0,925000.0,1830000.0,-275000.0,371000.0,641000.0,608000.0,411000.0,904000.0,709000.0,2273000.0,21000.0,145000.0,796000.0
ebitda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net_income,3865000.0,367000.0,1127000.0,3005000.0,-808000.0,210000.0,-8730000.0,-10017000.0,-668000.0,-3658000.0,989000.0,-3352000.0,-1453000.0,-1746000.0,-1935000.0,-15901000.0,-3757000.0,-1533000.0,-553000.0,-9703000.0,-1167000.0,-742000.0,-925000.0,-3102000.0,-292000.0,1193000.0,469000.0,687000.0,197000.0,323000.0,870000.0,2078000.0,-17000.0,494000.0,851000.0,1862000.0,308000.0,647000.0,6130000.0,6995000.0,-111000.0,150000.0,659000.0,1063000.0,1131000.0,752000.0,613000.0,2295000.0,17000.0,74000.0,644000.0
interest_expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,,,-7000.0,-0.0,-0.0,-0.0,-0.0,-18000.0,-18000.0,-18000.0
tax_expense,1354000.0,10000.0,472000.0,910000.0,-240000.0,150000.0,-3174000.0,-3022000.0,-218000.0,-19000.0,-132000.0,-180000.0,-1494000.0,-415000.0,22000.0,3937000.0,,-10000.0,-145000.0,-174000.0,16000.0,8000.0,-11000.0,18000.0,2000.0,2000.0,0.0,-25000.0,4000.0,0.0,0.0,85000.0,0.0,0.0,0.0,-10000.0,0.0,0.0,-5205000.0,-5165000.0,-164000.0,221000.0,-18000.0,-462000.0,205000.0,152000.0,96000.0,905000.0,2000.0,33000.0,152000.0
diluted_eps,0.95,0.08,0.23,0.64,-0.17,0.04,-1.81,-2.07,-0.14,-0.75,0.2,-0.69,-0.3,-0.35,-0.39,-3.21,-0.76,-0.31,-0.11,-1.95,-0.23,-0.15,-0.18,-0.61,-0.06,0.24,0.09,0.14,0.04,0.06,0.17,0.4,0.0,0.1,0.16,0.36,0.06,0.12,1.16,1.33,-0.02,0.03,0.12,0.2,0.21,0.14,0.11,0.43,0.0,0.01,0.12
research_and_development_expense,3336000.0,834000.0,989000.0,3630000.0,1029000.0,999000.0,1091000.0,4424000.0,1270000.0,1017000.0,954000.0,4135000.0,1131000.0,1356000.0,1651000.0,5036000.0,1816000.0,1423000.0,1297000.0,5734000.0,1077000.0,1123000.0,1029000.0,3520000.0,794000.0,603000.0,636000.0,2946000.0,816000.0,728000.0,722000.0,3010000.0,819000.0,916000.0,863000.0,3284000.0,620000.0,697000.0,691000.0,2836000.0,902000.0,842000.0,804000.0,3336000.0,496000.0,541000.0,644000.0,2214000.0,428000.0,526000.0,581000.0
