Financials,2010-10-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-03-31,2022-04-30,2022-06-30,2022-07-31,2022-09-30,2022-10-31,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
revenue,,,0.0,0.0,0.0,,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,,,,,250000.0,250000.0,250000.0,3994856.0,3790842.0,3425380.0,3051620.0,12031050.0,2055627.0,1747480.0,1131000.0,6063000.0,19689000.0,1188000.0,6000.0,20884000.0,3000.0,250000.0,253000.0,253000.0,1615000.0,1375000.0,250000.0,3240000.0,,458000.0,250000.0,38000.0,250000.0,91000.0,250000.0,692000.0,4000.0,9000.0,13000.0,13000.0
cost_of_goods_sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-368000.0,,-38000.0,,-91000.0,,-602000.0,-4000.0,-9000.0,-13000.0,-13000.0
gross_profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000.0,,90000.0,,90000.0,,90000.0,,,,
operating_income_ebit,,,-3583140.0,-12334771.0,-2181054.0,-5476797.0,-3053613.0,-14693602.0,-5957703.0,-2595977.0,-5999045.0,-19538578.0,-6776035.0,-13839927.0,-13629279.0,-48670657.0,-19951777.0,-15593234.0,-16566220.0,-76492238.0,-17185521.0,-20663054.0,-32810074.0,-98527876.0,-20547471.0,-13552354.0,-14164000.0,-70379000.0,10316000.0,-7873000.0,-10130000.0,-17972000.0,-7886000.0,-6321000.0,-5842000.0,-26449000.0,-3963000.0,-6321000.0,-4131000.0,-18786000.0,-4164000.0,-9846000.0,-3002000.0,-7852000.0,-7291000.0,-10080000.0,-19310000.0,-37503000.0,-11869000.0,-8486000.0,-7131000.0,-36266000.0
ebitda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net_income,,-2609515.0,-3104569.0,-12069687.0,-5708046.0,-5276806.0,-1595185.0,-19986826.0,-5187392.0,-2314617.0,-5779194.0,-16525314.0,-7033870.0,-13855259.0,-13562026.0,-47031118.0,-19844935.0,-15522450.0,-16486008.0,-73556230.0,-17081003.0,-20467655.0,-32625595.0,-93435402.0,-20492466.0,-13407072.0,-14017000.0,-66515000.0,12817000.0,-9383000.0,-9858000.0,-16612000.0,-7857000.0,-6323000.0,-5829000.0,-26469000.0,-3977000.0,-5107000.0,-3334000.0,-17862000.0,-365000.0,-9953000.0,-2440000.0,-8108000.0,-6963000.0,-10185000.0,-14359000.0,-38013000.0,-7361000.0,-8699000.0,-7339000.0,-48072000.0
interest_expense,,,-1045297.0,-4536528.0,-361176.0,-95986.0,-142842.0,-987746.0,-2015.0,-3238.0,-5253.0,-5253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tax_expense,,,-0.0,346787.0,725190.0,725190.0,-0.0,725190.0,625563.0,625563.0,625563.0,2356880.0,,,,1609349.0,14236.0,14236.0,14236.0,2535625.0,50000.0,50000.0,50000.0,4402682.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,,50000.0,50000.0,50000.0,,,50000.0,50000.0,,-189000.0,50000.0,-214000.0,50000.0,-106000.0,50000.0,-584000.0,4207000.0,-127000.0,-65000.0,3912000.0
diluted_eps,,,,,,,,,,,,,,,,,,,,,,,,,,-4.03,,,,-1.59,,,,-0.1,,,,,,,,,,-2.83,,-3.51,,-13.13,,-1.82,-1.53,-7.99
research_and_development_expense,,,1331415.0,6646094.0,979103.0,2112756.0,1319936.0,5621989.0,1559867.0,1544922.0,3005306.0,8687168.0,3579936.0,6135059.0,7289944.0,24220610.0,13064954.0,8758410.0,10142232.0,48774589.0,13648554.0,16308736.0,17798139.0,71900462.0,17070266.0,10832692.0,10800000.0,56970000.0,6707000.0,5969000.0,7060000.0,26677000.0,4859000.0,3922000.0,3458000.0,15612000.0,2570000.0,4344000.0,1703000.0,10562000.0,1654000.0,7503000.0,1484000.0,5580000.0,2233000.0,7199000.0,7616000.0,27851000.0,7265000.0,5723000.0,5683000.0,24081000.0
selling_general_and_admin_expense,,,2251725.0,5688677.0,1201951.0,3364041.0,1733677.0,9071613.0,4397836.0,2051055.0,2993739.0,11851410.0,3196099.0,7704868.0,6339335.0,24450047.0,7136823.0,6834824.0,6423988.0,31712505.0,7327809.0,7779698.0,18063555.0,38658464.0,5532832.0,4467142.0,4495000.0,19472000.0,2666000.0,3092000.0,3076000.0,12179000.0,3030000.0,2649000.0,2384000.0,11090000.0,3008000.0,3352000.0,2678000.0,11464000.0,2510000.0,2433000.0,1768000.0,2272000.0,2053000.0,2881000.0,8891000.0,9742000.0,4604000.0,2763000.0,1448000.0,12185000.0
