Financials,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,,0.0,6.0,0.0,,0.0,0.0,243683.0,488464.0,0.0,720439.0,0.0,,1476.0,613295.0,0.0,,590421.0,1756021.0,,,,48749.0,6460.0,,,,,,,,,,,,,,,
cost_of_goods_sold,,,,,,,,,,,,,,,,,0.0,,490826.0,736085.0,0.0,,0.0,,0.0,293794.0,0.0,,586011.0,1619149.0,,,,33592.0,4699.0,,,,,,,,,,,,,,,
gross_profit,,,,,,,,,,,,,,,,,0.0,0.0,-247143.0,-247621.0,0.0,-486593.0,0.0,,1476.0,319501.0,0.0,,4410.0,136872.0,,,,15157.0,1761.0,,,,,,,,,,,,,,,
operating_income_ebit,,,,,,,,,,,,,,,,,,,-1182816.0,-1499150.0,-1624651.0,-7210122.0,-1007404.0,-916748.0,-1064424.0,-4106291.0,-1009565.0,-1015401.0,-1022567.0,-4037186.0,-1115595.0,-858912.0,-960911.0,-570060.0,-107076.0,,-625.0,-625.0,-2500.0,-24846.0,-1676.0,-22908.0,-61099.0,-34252.0,-15149.0,-9946.0,-71843.0,-10350.0,-21768.0,-32720.0
ebitda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net_income,-1500.0,0.0,0.0,-1500.0,-2000.0,-37001.0,-10761.0,-17921.0,-24814.0,-34167.0,-8448.0,-7548.0,-7459.0,-31754.0,9274.0,-3060954.0,-812198.0,-7638383.0,-1453189.0,-1782958.0,-1912673.0,-9163016.0,-1267062.0,-1174257.0,-1319549.0,-5228253.0,-1298146.0,-1374424.0,-1281066.0,-7174070.0,-1427013.0,-1165645.0,-1249579.0,21255066.0,-107213.0,-625.0,-625.0,-625.0,-2500.0,-24846.0,-1676.0,-22908.0,-60899.0,-34252.0,-15149.0,-9946.0,-71843.0,-10350.0,-21768.0,-10999.0
interest_expense,,,,,,,,,,,,0.0,0.0,0.0,,-440811.0,-271704.0,-1036606.0,-276149.0,-291700.0,-281575.0,-1124675.0,-267503.0,-266410.0,-263648.0,-1054336.0,-250923.0,-254652.0,-256667.0,-1037657.0,-271910.0,-274061.0,-258482.0,,,,,,,,,,,,,,,,,
tax_expense,,,,,,,,,,,,0.0,0.0,0.0,-102127.0,86772.0,-2820.0,-27927.0,-7388.0,-7875.0,-11313.0,-28942.0,-8212.0,-9116.0,-8719.0,-31651.0,-2499.0,256.0,1795.0,9503.0,4356.0,-2747.0,-2028.0,9.0,,,,,,,,,,,,,,,,
diluted_eps,,,,,,,,,,,,-0.02,-0.02,-0.08,-0.01,-0.07,-0.02,-0.12,-0.02,-0.03,-0.03,-0.14,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,,,-0.0
research_and_development_expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling_general_and_admin_expense,,,,,,,,,,,,401014.0,447234.0,1902271.0,935818.0,2532732.0,539557.0,6617755.0,935673.0,727246.0,854334.0,3734520.0,1007404.0,916748.0,1065900.0,4425792.0,1009565.0,1015401.0,1026977.0,4173525.0,1115595.0,858912.0,960911.0,584259.0,106960.0,,625.0,625.0,2500.0,24846.0,1676.0,22908.0,61099.0,34252.0,15149.0,9946.0,71843.0,10350.0,21768.0,4270.0
cash_and_cash_equivalents,0.0,0.0,0.0,,30000.0,24500.0,42428.0,42438.0,16821.0,16826.0,16828.0,7730.0,7731.0,7731.0,5232.0,633268.0,129881.0,269250.0,338302.0,41500.0,48153.0,26957.0,90541.0,90147.0,89947.0,86519.0,23779.0,35241.0,78374.0,24793.0,34868.0,34724.0,31611.0,34389.0,27206.0,,,,,,,,,,,,,,,
marketable_securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_current_assets,,,,,,,,,,,,,,725060.0,,9043608.0,8203111.0,7658522.0,7888073.0,5617456.0,5216563.0,4450518.0,4521561.0,4404320.0,4420436.0,3541968.0,4273311.0,4369130.0,4730841.0,7785521.0,7941361.0,7435001.0,7024719.0,124247.0,48104.0,,,,,,3300.0,3330.0,,,500.0,,2998.0,1499.0,,70000.0
total_current_liabilities,,,,,,,,,,,,,,11112694.0,,47561215.0,58553829.0,59812617.0,60661265.0,60070304.0,58371663.0,57140009.0,58234422.0,57318587.0,57597238.0,55535634.0,56116645.0,57684587.0,59694542.0,61822318.0,64750254.0,62000459.0,60110800.0,91115.0,99133.0,,,,5200.0,,35052.0,57960.0,66099.0,,15232.0,24678.0,40172.0,49023.0,47592.0,35331.0
accounts_receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50953.0,4337.0,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458405.0,476346.0,452697.0,435631.0,,,,,,,,,,,,,,,,,
total_assets,,0.0,,,30000.0,24500.0,42428.0,42438.0,16821.0,16826.0,16828.0,,7731.0,7731.0,5232.0,62787559.0,62801009.0,60597419.0,59981883.0,57596795.0,54085340.0,49034475.0,48802475.0,46948508.0,45970126.0,42937463.0,43138901.0,43074981.0,43468797.0,40556431.0,41223780.0,38490037.0,36230304.0,536815.0,437341.0,,,,,,3300.0,3330.0,,,500.0,,2998.0,1499.0,,70000.0
total_liabilities,,31500.0,,,3000.0,29501.0,23190.0,30360.0,11636.0,20994.0,29444.0,,35354.0,43653.0,50428.0,58285998.0,59124827.0,59892487.0,60733450.0,60134944.0,58422698.0,57187512.0,58273865.0,57348039.0,57617775.0,55549919.0,56128509.0,57696670.0,59706876.0,62033799.0,64970012.0,62209306.0,60311674.0,91115.0,,,,,,,,,,,,,,,,
long_term_debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
short_term_debt,,,,,,,,,,,,,,213223.0,,,,212453.0,211651.0,212641.0,204361.0,200197.0,201201.0,196043.0,194675.0,187401.0,188425.0,191899.0,195875.0,,2792338.0,2653704.0,2552404.0,,,,,,,,,,,,10519.0,11519.0,21721.0,24221.0,,9314.0
retained_earnings,,-31500.0,,,-36500.0,-68501.0,-79262.0,-86422.0,-93315.0,-102668.0,-111116.0,,-126123.0,-134422.0,-143696.0,-3857145.0,-4669342.0,-7599396.0,-9052587.0,-10835543.0,-12748217.0,-16762412.0,-18029474.0,-19203731.0,-20523280.0,-21990666.0,-23288812.0,-24663236.0,-25944302.0,-30844224.0,-32285015.0,-33436882.0,-34686461.0,-9589158.0,-9696371.0,,,,-9418301.0,,-9444823.0,-9467731.0,-9479200.0,-9513452.0,-9528601.0,-9538547.0,-9551043.0,-9561393.0,-9583161.0,-9594160.0
total_stockholders_equity,,-31500.0,,,27000.0,-5001.0,19238.0,12078.0,5185.0,-4168.0,-12616.0,-20164.0,-27623.0,-35922.0,-45196.0,4501561.0,3676182.0,704932.0,-751567.0,-2538149.0,-4337357.0,-8153037.0,-9471390.0,-10399531.0,-11647649.0,-12612456.0,-12989608.0,-14621689.0,-16238079.0,-21477368.0,-23746232.0,-23719269.0,-24081370.0,445700.0,338208.0,,,,-5200.0,,-31722.0,-54630.0,-66099.0,,-14732.0,-24678.0,-37174.0,-47524.0,-47592.0,34669.0
goodwill_and_intangibles,,,,,,,,,,,,,,0.0,,6213804.0,5072078.0,6539757.0,6515055.0,6545533.0,6290659.0,6162494.0,6193396.0,6034620.0,5992508.0,5768599.0,5800121.0,5907058.0,6029437.0,6124204.0,6363889.0,6047936.0,5817068.0,,,,,,,,,,,,,,,,,
treasury_stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cash_flow_from_operations,0.0,0.0,0.0,,-33500.0,-39000.0,-17072.0,-17062.0,-42679.0,-42674.0,2.0,-9096.0,-9095.0,-9095.0,-2499.0,-19100369.0,-12019291.0,-13568984.0,-556970.0,1618103.0,1718845.0,1112188.0,-129119.0,-560669.0,-1157448.0,-458642.0,-317657.0,-478391.0,-629143.0,-203356.0,-330821.0,-388077.0,-485282.0,-471907.0,-30804.0,,-1250.0,-1875.0,-2500.0,,-26631.0,-32461.0,-38581.0,-56770.0,-67706.0,-68706.0,-78908.0,-2500.0,-24740.0,-33514.0
capital_expenditure,,,,,,,,,,,,,,,,-185585.0,-970322.0,,,-39466.0,-75718.0,-348298.0,,,-0.0,-317883.0,-1002.0,-1004.0,-6099.0,-13030.0,,,,,,,,,,,,,,,,,,,,
free_cash_flow,0.0,0.0,0.0,,-33500.0,-39000.0,-17072.0,-17062.0,-42679.0,-42674.0,2.0,-9096.0,-9095.0,-9095.0,-2499.0,-18914784.0,-11048969.0,-13568984.0,-556970.0,1657569.0,1794563.0,1460486.0,-129119.0,-560669.0,-1157448.0,-140759.0,-316655.0,-477387.0,-623044.0,-190326.0,-330821.0,-388077.0,-485282.0,-471907.0,-30804.0,,-1250.0,-1875.0,-2500.0,,-26631.0,-32461.0,-38581.0,-56770.0,-67706.0,-68706.0,-78908.0,-2500.0,-24740.0,-33514.0
dividends_paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
share_buyback_spending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_stock_price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shares_outstanding_diluted,,,,,,,,,,,,42626012.0,24786212.0,42626012.0,57817704.0,61243401.0,63760110.0,61667406.0,63760110.0,63760110.0,63760110.0,63760110.0,,,,,,,,,,,,,,,,,,,,,,,,16110005.0,,,,38490440.0
market_cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enterprise_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dividend_yield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
risk_free_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historical_10yr_revenue_growth_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historical_10yr_eps_growth_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analyst_growth_estimate_next_5yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weighted_average_cost_of_capital_wacc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expected_inflation_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
