Financials,2022-12-31,2023-03-31,2023-09-30,2023-12-31,2024-03-31,2024-09-30,2024-12-31,2025-03-31
revenue,,,12736547.0,53255361.0,13104123.0,11259716.0,46435412.0,10055569.0
cost_of_goods_sold,,,8597348.0,35899057.0,8696562.0,8124542.0,31843467.0,6854172.0
gross_profit,,,4139199.0,17356304.0,4407561.0,3135174.0,14591945.0,3201397.0
research_and_development,,,3736.0,25880.0,3987.0,3649.0,13408.0,0.0
selling_general_and_admin,,,6450397.0,23976209.0,5824208.0,19061439.0,41954296.0,7522252.0
operating_expenses,,,6454133.0,24002089.0,5828195.0,19065088.0,41967704.0,7522252.0
operating_income_ebit,-4044156.0,-632920.0,-2314934.0,-6645785.0,-1420634.0,-15929914.0,-27375759.0,-4320855.0
depreciation_and_amortization_expense,,,,607138.0,142518.0,,525295.0,123799.0
interest_income,,,,,,,,
interest_expense,,,,,,,,
tax_expense,,,226432.0,523481.0,70529.0,86043.0,578303.0,48479.0
net_income,-1111964.0,-3339807.0,-3830445.0,-15306550.0,-3034984.0,-4961006.0,-39475321.0,-4674358.0
basic_eps,,,-0.11,-0.45,-0.09,-0.13,-1.03,-0.13
diluted_eps,,,-0.11,-0.45,-0.09,-0.13,-1.03,-0.13
cash_and_cash_equivalents,271467.0,141549.0,80473.0,48516765.0,9458.0,49060421.0,63821397.0,62300298.0
marketable_securities,,,,300000.0,,,,
accounts_receivable,,,,2450871.0,,2640862.0,2115681.0,2103924.0
inventory,,,,125603.0,,,89111.0,
prepaid_expenses,94553.0,,,,,,,
total_current_assets,366020.0,141549.0,80473.0,103361724.0,9458.0,82532410.0,87486859.0,93939406.0
property_plant_equipment,,,,1016490.0,,955975.0,1055520.0,1118661.0
operating_lease_rou_assets,,,,154234.0,,29725.0,349240.0,294965.0
goodwill,,,,27001383.0,,26999726.0,12059428.0,12059428.0
intangible_assets,,,,4926674.0,,3771256.0,3386117.0,
total_assets,209298900.0,101975733.0,82030486.0,141490432.0,54515855.0,114964512.0,104679986.0,110757729.0
accounts_payable,,,,10541.0,,35657510.0,55329740.0,51411453.0
accrued_liabilities,2787773.0,3125503.0,,,,,,
deferred_revenue_current,,,,,,,,
short_term_debt,,,,9031383.0,,,3684171.0,3677066.0
operating_lease_liabilities_current,,,,152325.0,,25272.0,171909.0,177505.0
total_current_liabilities,2854360.0,3262809.0,4251595.0,173862148.0,4884502.0,136664051.0,145357196.0,153749761.0
long_term_debt,,,,2506974.0,,20137666.0,3684171.0,3677066.0
operating_lease_liabilities_noncurrent,,,,,,,156647.0,
deferred_tax_liabilities,,,,1246760.0,,,876912.0,
total_liabilities,8854324.0,9262773.0,10251559.0,177675731.0,10884466.0,137699458.0,146436044.0,154685332.0
retained_earnings,-8488887.0,-9121807.0,-10171669.0,-92075379.0,-10875591.0,-103857748.0,-131522902.0,-136197260.0
treasury_stock,,,,,,,,
accumulated_other_comprehensive_income,,,,88366.0,,-158585.0,-108122.0,7873.0
total_equity,-24735379.0,-27490633.0,-34793963.0,-39143247.0,-41407040.0,-46954713.0,-65987533.0,-68387147.0
cash_flow_from_operations,-756716.0,-129918.0,,-15286494.0,-220972.0,,3450240.0,-1487912.0
stock_based_compensation,,,,,,13137850.0,20869721.0,2158749.0
depreciation_amortization_cf,,,,,,,,
capital_expenditure,,,,291856.0,12058.0,,576674.0,175158.0
cash_flow_from_investing,-2999982.0,108729854.0,,1444823.0,-11443.0,,-565034.0,-174562.0
cash_flow_from_financing,2999982.0,-108729854.0,,-1197648.0,470451.0,,2016549.0,141611.0
dividends_paid,,,,,,,,
share_repurchase,,109309854.0,,133124975.0,30285815.0,,,
shares_outstanding_basic,,,33980753.0,33980753.0,33980753.0,46527999.0,46527999.0,46527999.0
shares_outstanding_diluted,,,33980753.0,33980753.0,33980753.0,38163168.0,38163168.0,35374891.0
total_debt,,,,11538357.0,,,7368342.0,7354132.0
current_stock_price,,,,,,2.5,1.8,1.51
market_cap,,,,,,95407920.0,68693700.58023834,53416085.07263875
enterprise_value,,,,,,46347499.0,12240645.580238342,-1530080.92736125
beta_3y,,,,,,,,
risk_free_rate,0.0387899994850158,0.0349399995803833,0.0457299995422363,0.0386599993705749,0.042059998512268,0.0380200004577636,0.0457299995422363,0.0424599981307983
wacc,,,,,,,,
ebitda,,,,-6038647.0,-1278116.0,,-26850464.0,-4197056.0
free_cash_flow,,,,-15578350.0,-233030.0,,2873566.0,-1663070.0
