Financials,2023-12-31,2024-09-30,2024-12-31,2025-09-30,2025-12-31
revenue,98137000.0,24542000.0,142165000.0,50618000.0,179572000.0
cost_of_goods_sold,0.0,0.0,0.0,0.0,0.0
gross_profit,98137000.0,24542000.0,142165000.0,50618000.0,179572000.0
research_and_development,254244000.0,63002000.0,256689000.0,152076000.0,447751000.0
selling_general_and_admin,155488000.0,13822000.0,51301000.0,19335000.0,77477000.0
operating_expenses,409732000.0,76824000.0,307990000.0,171411000.0,525228000.0
operating_income_ebit,-311595000.0,-52282000.0,-165825000.0,-120793000.0,-345656000.0
depreciation_and_amortization_expense,32221000.0,400000.0,32961000.0,400000.0,30723000.0
interest_income,25066000.0,2453000.0,11672000.0,3508000.0,11434000.0
interest_expense,0.0,0.0,0.0,314000.0,1477000.0
tax_expense,-4074000.0,-1019000.0,7626000.0,-1186000.0,-5987000.0
net_income,-319675000.0,-90180000.0,-158546000.0,-159514000.0,-582813000.0
basic_eps,-66.25,-18.33,-32.24,-6.67,-15.52
diluted_eps,-66.25,-18.33,-32.24,-6.67,-15.52
cash_and_cash_equivalents,32769000.0,38613000.0,42847000.0,487462000.0,252215000.0
marketable_securities,,,,,
accounts_receivable,,,65368000.0,84215000.0,30887000.0
inventory,,,,,
prepaid_expenses,,,7232000.0,8923000.0,14164000.0
total_current_assets,,,1387761000.0,2142153000.0,1606251000.0
property_plant_equipment,,,17152000.0,14818000.0,15083000.0
operating_lease_rou_assets,,,14512000.0,16419000.0,18559000.0
goodwill,,,,,
intangible_assets,,,,,
total_assets,,,1593928000.0,2338210000.0,1801847000.0
accounts_payable,,,17568000.0,5352000.0,2647000.0
accrued_liabilities,,,38907000.0,67579000.0,55466000.0
deferred_revenue_current,,,0.0,8741000.0,6031000.0
short_term_debt,,,,,
operating_lease_liabilities_current,,,4737000.0,5594000.0,6807000.0
total_current_liabilities,,,1348777000.0,1664698000.0,1240404000.0
long_term_debt,,,,,
operating_lease_liabilities_noncurrent,,,20153000.0,19950000.0,20570000.0
deferred_tax_liabilities,,,11520000.0,,22137000.0
total_liabilities,,,1854922000.0,1684648000.0,1260974000.0
retained_earnings,,,-1460440000.0,-1902430000.0,-2043253000.0
treasury_stock,,,0.0,568000.0,568000.0
accumulated_other_comprehensive_income,,,2987000.0,7375000.0,887000.0
total_equity,-644303000.0,-767948000.0,-795362000.0,653562000.0,540873000.0
cash_flow_from_operations,-207294000.0,,-108960000.0,,-218108000.0
stock_based_compensation,15840000.0,,5596000.0,,84956000.0
depreciation_amortization_cf,32221000.0,,32961000.0,,30723000.0
capital_expenditure,729000.0,,1226000.0,,1980000.0
cash_flow_from_investing,33218000.0,,83609000.0,,-47933000.0
cash_flow_from_financing,-521436000.0,,225379000.0,,514031000.0
dividends_paid,,,,,
share_repurchase,,,,,
shares_outstanding_basic,4825000.0,4920000.0,4918000.0,23931000.0,37552000.0
shares_outstanding_diluted,4825000.0,4920000.0,4918000.0,23931000.0,37552000.0
total_debt,,,,,
current_stock_price,,,,23.96,9.92
market_cap,,,,573386738.0905151,372515842.86499023
enterprise_value,,,,85924738.09051514,120300842.86499023
beta_3y,,,,,
risk_free_rate,0.0386599993705749,0.0380200004577636,0.0457299995422363,0.0414799976348876,0.0416300010681152
wacc,,,,,
ebitda,-279374000.0,-51882000.0,-132864000.0,-120393000.0,-314933000.0
free_cash_flow,-208023000.0,,-110186000.0,,-220088000.0
